timeout = 2 ms
[main] remote send-self sock connected
[expirator] expirator thread created, local client sock = 4
[expirator] wait for sem post by receiver
[main] client connection accepted, sock = 5, ip = 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
[receiver] receievd heartbeat from 10.0.0.13
